;;Тема - астрологические созвездия;
;1;"Близнецы
Знак противостояния самому себе, хаоса и противовеса материи и духовности. Близнецы умны и всегда стараются совместить в своей натуре противоположные пристрастия, что неплохо им удаётся. Крайне любопытны, легко подсаживаются на новое увлечение и, играючи, усваивают новый материал, который стремятся передать всем, кто захочет слушать. У них отличная память, умение обобщать анализировать. Добиваются успеха в науках, связанных с языком и писательством, но и другие сферы не остаются без внимания этого знака. Непостоянны, склонны к частым переменам, крайне энергичны.
";2_blizhetsi.jpg
;2;"Овен
Овен символизирует смелость и инициативность, наступательную мощь и упрямство, какое ещё нужно поискать. Не нужно долго размышлять – а скорее идти на таран, не замечая препятствий. Среди овнов много первооткрывателей. Для них характерна импульсивность и эгоцентричность, самоуверенность и честолюбие. Стараются быть лидерами и проявляют инициативу. Переубедить овна невозможно. В этом его и сила и слабость одновременно.
";2_oven.jpg
;3;"Телец
Символ развития, силы воли и упорства. Тельцы ценят стабильность и доход, практическое применение имеющихся знаний. Они предпочитают надёжные долгосрочные отношения, нелегко открываются новым людям, предпочитают работать в одиночестве. Есть тяга к роскоши и изобилию: тельцы любят вкусную еду, красивую изысканную одежду – они не только пользуются уже готовым, но и обладают прекрасным вкусом и стилем, чтобы создать что-то своё. Каждое действие должно быть оправданно как очередной шаг к достижению цели. 
";2_telets.jpg
;4;"Рак
Символ родительской любви и развития. Раки чувствительны и ранимы, но их крайняя эмоциональность и сентиментальность обычно скрывается за маской отчуждённости даже рядом с близкими людьми. Они обладают повышенной эмпатией и тонко чувствуют перепады настроения у окружающих. Проявляют заботу к ближним. Раки – отличные родители, которые могут понять стремления своих детей. У них повышена интуиция. Доброжелательны и любезны.
";2_rak.jpg
;5;"Лев
Символ удачи, энергии и силы. Львы – люди с сильным характером и завышенной тягой к благородству. Они отважны, полны творческих начинаний и честны со всеми. Нельзя ждать от львов подлости – такие не ударят ниже пояса. Они искренни и горделивы с уходом в честолюбие и властность. Такие люди обожают находиться в центре внимания, у них высокая самооценка. Внешняя нечувствительность к критике, но на самом деле львы прислушиваются к другим: если им сказать, что зелёный цвет им не подходит, то можно быть уверенным, больше такого оттенка в их гардеробе не будет.
";2_lev.jpg
;6;"Дева
Символ практичности, добродетели и помощи. Девы во всём проявляют аккуратность и за работу берутся с удвоенным рвением, тщательно проверяя все результаты. Они – рационалисты, для которых порядок и польза стоят на первом месте. Педантичны. Отлично планируют свои дела. Девы - самостоятельные, они индивидуалисты, в их мире всё всегда на своих местах. Пунктуальны. Легко решают любую проблему, так как обладают умением анализировать. 
";2_deva.jpg
;7;"Весы
Символ гармонии и устойчивости, объективного суждения. Весы умеют находить баланс внутри себя, а потому могут примерять враждующие стороны. У них обострена тяга к прекрасному и стильному, они чувствуют ритм и умеют сочетать цвета. Нерешительны и часто теряются в сложных ситуациях, ищут кого-нибудь, на кого можно переложить часть ответственности. При этом защищают собственные интересы, поэтому их мягкость нельзя считать слабостью. Общительны и легко находят язык с новыми людьми. 
";2_vesi.jpg
;8;"Скорпион
Символ жизненной борьбы. Такие люди предпочитают не открытое противостояние, а находиться в тени и выжидать, когда можно будет проявить характер. Они скрытны и не делятся с окружающими своими чувствами. Серьёзны и молчаливы снаружи, эмоциональны и обидчивы внутри. Скорпионы жёсткие и решительные, они обладают непревзойдённой интуицией и притягательностью, способны подмечать детали. Злопамятны, остры на язык и мстительны в гневе. 
";2_skorpion.jpg
;9;"Стрелец
Символ щедрости и прогрессивности, целеустремлённости. Такие люди полны оптимизма и весёлости, они энергичны и открыты для новых знакомств. Стрельцы доверчивы, великодушны и справедливы. Они любят путешествовать и ввязываться в авантюры. Умеют и хотят учиться чему-то новому, любят наставлять всех на истинный путь. Отличные первооткрыватели и учёные, но столь же хороши в качестве учителей. Несмотря на это, не позволяют учить себя жизни и изменить их взгляды извне – невозможно. Невнимательны к мелочам, но хорошо запоминают основной материал.
";2_strelets.jpg
;10;"Козерог
Символ – сочетание крайностей. Козероги отличные руководители с хорошей интуицией и умением планировать собственные и чужие действия. Они изучают не только основной материал, но и весь ему сопутствующий. Трудолюбивы и обладают сильной волей. Такие люди амбициозны, практичны, выносливы и часто ставят перед собой конкретные цели, которых методично добиваются. 
";2_koz.jpg
;11;"Водолей
Символ познания. Водолеи – эксцентричны и умны, они оригинальны в своих суждениях и действиях. Такие люди – неординарны, они привлекают внимание своими новаторскими идеями. Сильно развито абстрактное мышление, поэтому водолеи легко изобретают что-то новое. Идеалисты, но могут приспосабливаться к реальной жизни. Хорошо разбираются в людях и понимают их скрытые мотивы. Незлопамятны, высоко ценят дружбу. 
";2_vod.jpg
;12;"Рыбы
Символ самовыражения. Рыбы чувствительны, обладают богатой фантазией и развитой интуицией. Они страдают от внутренних противоречий и им сложно найти внутреннюю гармонию. Такие люди мечтательны и сентиментальны, они обладают повышенной эмпатией и тонко чувствуют эмоции других людей. Рыбы склонны видеть мир сквозь розовые очки. Среди таких людей большое количество художников, поэтов, музыкантов. 
";2_rib.jpg
;;Тема - Лунно-Солнечный календарь ;
;1;"Новолуние
Эта важная фаза, что определяет весь остальной месяц. Благоприятный период для того, чтобы начать новое дело. Под знаком молодой Луны накапливается жизненная энергия, которую необходимо пустить в правильное русло. Не нужно резко стартовать – необходимо медленное начало. В тоже время нужно быть осторожным: это фаза агрессии, которую следует расходовать физическими нагрузками. ";0_.jpg     
;2;"Бальзамическая Луна
Фаза духовная, период, когда необходимо уйти в себя. На этом этапе не случается ничего плохого. Максимальной продуктивности можно добиться от творческих начинаний. Фаза размышлений во время прогулок. Нельзя лгать и следует тщательно следить за собственными словами: на этом этапе они приобретают силу. Время, чтобы покопаться в себе и простить давние обиды. 
";1.jpg
;3;"Последняя четверть Луны 
Неспокойная фаза, которая характеризуется резкими всплесками и затуханиями. Начало – кризисное и опасное, полное дурных вестей и обманов. Середина – благоприятная для завершения старых дел и начала новых, всплеск жизненной энергии, удачное время для учёбы. Конец – спокойный и умиротворённый. Нужно быть чутким и прислушиваться к чужим просьбам и советами – и тогда всё пройдёт хорошо.";2 .jpg 
;4;"Рассеивающая Луна
Непростая фаза с сильными эмоциональными всплесками. В этот период обостряются эмоции и желание уйти в себя. Переизбыток энергии приводит к агрессивности, поэтому её стоит направить в творческое русло. Благоприятная фаза для учёбы. Нельзя поддаваться соблазнам – после удовольствия и удовлетворения наступит период длительного опустошения.";3.jpg
;5;"Полнолуние
Сложная фаза, во время которой ни в коем случае нельзя принимать ответственных решений, связанных с любовью. Не стоит выяснять отношений – всё запутается ещё больше. Общение с людьми лучше сократить до возможного минимума. Нельзя заключать важные договоры, брать взаймы или отдавать долги. Зато это время отказа от дурных привычек. Также в этот период можно сделать то дело, о котором всегда мечтал, но всё никак не было возможности.
";4.jpg 
;6;"Выпуклая Луна
Начало фазы активное, полное творческого потенциала и возможности его реализовать. Нужно быть храбрым и попробовать нечто новое. Удачный момент для коллективных мероприятий, и лучше не оставаться в полном одиночестве надолго. Середина фазы мрачная и агрессивная, момент сломанных старинных устоев – и лучше держаться от толп подальше. Конец благоприятен для накопления знаний и опыта.  
";5.jpg
;7;"Первая четверть Луны 
Пассивная фаза, когда рекомендуется не предпринимать никаких активных решений или активных действий. Лучшее времяпровождение – отдых на природе, общение с родителями и детьми. Не нужно начинать никаких новых дел – это период отдыха, самосознания, обретения уверенности в себе и собственных силах. Можно закончить старые дела, но лучше дождаться более активной фазы. Время благополучное для домашних дел.
";6.jpg
;8;"Серповидная Луна
Одна из самых опасных фаз, так как подводятся итоги прожитого месяца. Нужно вернуть долги, разорвать связи с людьми, которые неприятны, избегать случайных контактов. В этот период нельзя допустить негативных мыслей. Порадуйте своих близких – для них это такой же непростой период. Нельзя принимать резких необдуманных решений, переходить на новое место работы или начинать новое дело – лучше закончить все старые. 
";7.jpg
;9;"Закат
Астрологический символ заката в целом благоприятен для человека. Он связан непосредственно с медициной и свидетельствует о том, что в скором времени больной пойдёт на поправку. Закат символизирует улучшение здоровья, удачное лечение старых заболеваний и ремиссию хроничеких болезней.
";zakat_2.jpg 
;10;"Рассвет 
Рассвет символизирует новое начало. Этот символ означает благоприятное время для того, чтобы взяться за новое дело. Впереди видны отличные перспективы. Также в будущем подвернётся возможность для творческого развития. Важно духовно совершенствоваться, так как есть все необходимые предпосылки
";voshod_6.jpg
;;Тема - Знаки стихии;
;1;"Огонь
Стихия огня определяет импульсивность и даже некоторую агрессивность, веру в себя и активную жизненную позицию. Это порождает подвижность и энтузиазм, развитие и самосовершенствование, импульсивность. Огонь обжигает, это «здесь и сейчас», это свет, который должны увидеть максимальное количество людей. Но огненные люди не только обжигают – они делятся теплом и светом.  
";2_ogon.jpg
;2;"Вода
Вода – стихия чувствительности и эмоциональности, глубокого контакта с собственными ощущениями и интуицией. Водные люди подмечают все тонкости и нюансы. Они чувствуют себя уязвимыми и нуждаются в защите, но при этом их нельзя считать слабыми: вода обладает огромной потенциальной энергией, которую нужно направить в правильное русло. Их эмоциональный спектр распространяется от глубинных страхов до всеобъемлющей любви ко всему сущему. 
";1_voda.jpg
;3;"Воздух 
Воздушная стихия – абстрактное мышление, яркость и подвижность, интеллект, общение и безграничный обмен информацией. Такие люди легко принимают даже сложные решения, они импульсивны и приспосабливаются ко всему новому с пугающей скоростью. Непостоянны, им не хватает дисциплины. Общительны и любят много поговорить, с интересом усваивают новую информацию и с ещё большим интересом делятся ею.
";4_vozduh.jpg
;4;"Земля
Стихия земли – практичность и материализм, это реалистичность и рационализм. Такие люди трудолюбивы и напористы, они ставят перед собой цель и добиваются её. Земля – тверда и постоянна, но иногда слишком медлительна и отчуждённа. Надёжность, основательность, постоянство, упор на материальные ценности – вот главные качества такой стихии.  
";3_zemlya.jpg
;;Тема - Цвета;
;1;Красный цвет – олицетворяет энергию, лидерство, могущество. Этому цвету свойственна максимальность во всех чувствах: он страстно любит, так же страстно ненавидит и верит. Красный цвет импульсивен, он всегда рвется к победе любыми способами. Это символ активности, он не оставляет начатое дело никогда, он горит желанием дойти до своей заветной цели.;1_krasnii.jpg
;2;Оранжевый цвет – цвет тонуса, тепла и поддержки. Этот цвет такой же активный как и красный, но в нем нет того агрессивного напора и стремления к достижению цели любыми способами. Оранжевый цвет всегда поддержит нуждающегося в момент горя или утраты. Он найдет нужные слова, поможет обрести душевное равновесие, утраченное в момент стресса. Оранжевый цвет – отличный психотерапевт!;2_orangevii.jpg
;3;Желтый цвет – олицетворяет ум, гибкость, преодоление трудностей с достоинством. Желтый цвет также является символом трудолюбия, высокой концентрации внимания и сообразительность, интуиции. Желтый цвет уверен в себе, но сдержан в проявлениях силы, честен и терпим. Это борец со справедливость, любящий веселье, смех и радость.  Цвет позволяет быстро принимать важные решения. ;3_goltii.jpg
;4;Зеленый цвет – олицетворение покоя и стабильности. Также это символ процветания и новых начинаний, которые будут весьма успешными. Зеленый цвет работоспособен, активен и справедлив, он старается всегда оценивать все стороны ситуации. Помогает достичь умиротворенности и высокой степени концентрации. Очень часто скучает, предается меланхолии.;4_zelenii.jpg
;5;Голубой цвет – символ беспечности и небрежности. Он одновременно мешает сосредоточиться и успокаивает, внушает надежду на лучшее. Это цвет комфорта, он быстро снизит нервное напряжение. Голубой цвет – оттенок нежности, мечтаний и грез. Он способен расширить пространство (и внутреннее в том числе), дает возможность быть вне общественных границ.;5_oluboi.jpg
;6;Синий цвет – сильный и глубокий цвет. Это символ упорства, постоянства и настойчивости. Он очень серьезен, строг, но при этом преданный и самоотверженный. Ценит порядок и строгую систематизацию во всем, имеет свою точку зрения и готов ее яро отстаивать. Помогает обрести гармонию, избавиться от стрессов и депрессий, обрести себя. Любит долгие размышления о смысле жизни.;6_sinii.jpg
;7;Фиолетовый цвет – символ чувственности, эмоциональности и внушаемости. Это тяжелый сложный цвет, способный привести к депрессии. Является также символом раскаяния и воздержанности, завуалированный символ тоски и грусти по несбывшимся желаниям. Всегда сентиментален, желает найти себя и свое предназначение в этом мире, окунается в чувства с головой. ;7_fioletovii.jpg
;;Тема - цифры;
;1;0 – символ вечности и бесконечности. Очень часто его считают символом неудач, появляясь в дате рождения человека, он несет с собой несчастье. Ноль обозначает небытие, отсутствие существования, пустые мечты. Ноль имеет и другие значения – безграничность, чистота и любовь, истина и вера. Соединяясь с другими цифрами, он создает особые значения, понять смысл которых нелегко.;0_0_0.jpg
;2;Цифра 1 – это символ лидерства, стремления к независимости и силе. Цифра побуждает человека начинать новые дела безо всяких раздумий, это символ новаторства. Единица, имеющая внешний вид столба, всегда стремится навстречу новым делам, навстречу судьбе. Любит подстрекать окружающих людей к активной деятельности. Понимает всю суть бытия, быстро различает положительные и отрицательные стороны. ;1_1_1.jpg
;3;Цифра 2 – символ чувствительности и душевной гибкости. Двойка мягка, женственна, но дипломатична. Всегда указывает на пристрастие к музыке. Она изысканна и нежна. Избегает конфронтации в любых ситуациях, но всегда имеет силу для продвижения по дороге к важной жизненной цели. Двойка – противоречивый символ, нежный и сильный одновременно. Любит жизнь и пользуется ее правильно.;2_2_2.jpg
;4;Цифра 3 – число удачи, счастливый символ. Символ энтузиазма и жизненного оптимизма, тройка всегда впереди, всегда стремится к лучшим условиям. Она радуется жизни и воспринимает поражения с достоинством. Цифра 3 также символизирует мастерство, одаренность, успех и вдохновение. Готова заключить в свои объятия весь мир вокруг, стремится к дружбе и любви, ненавидит ссоры, склоки и недопонимание. ;3_3_3.jpg
;5;Цифра 4 – это опора для всех остальных цифр. Четверка – это символ прочности, надежности и крепости. Это строгая и прагматичная цифра, обладающая к тому же изрядной долей остроумия. Восприятие окружающего мира четверкой очень необычно, она не любит перемен в жизни, предпочитая оставаться консерватором. Очень ценит древние и семейные традиции. Имеет авторитет у людей.;4_4_4.jpg
;6;Цифра 5 – наиболее динамичная и подвижная цифра. Она всегда готова к приключениям и путешествиям, открыта для новых знаний и познанию неизведанных глубин бытия. Пятерка смела, ее характеризует постоянная готовность к любым авантюрам. Цифра 5 имеет прирожденную способность к управлению людьми и финансами, торговле и администрированию. Слишком яркий характер, способный погасить искры окружающих.;5_5_5.jpg
;7;Цифра 6 – символ любвеобильности. Очень гармонично сочетается со всеми остальными цифрами. Шестерка – это символ любви, материнства и самопожертвования. Всегда готова помочь слабым и униженным, защищает их яро и остервенено, до конца.  Часто имеет артистические и другие творческие таланты. Всегда ищет справедливости во всем, правда, редко ее находит.;6_6_6.jpg
;8;Цифра 7 – символ мудрости, одиночества, поиска истины. Семерка имеет глубокие знания во многих сферах науки и жизни и умеет применять их на практике. Она мудра, понимающая и имеет отличную интуицию. Из-за слишком большого количества информации в голове и опыта семерка почти всегда одинока, она – затворница. Символ – замкнутости в себе и молчаливого созерцания. ;7_7_7.jpg
;9;Цифра 8 – символ бесконечности бытия. Восьмерка всегда находится на грани духовного и материального, ловко балансируя на границе. К деньгам относится как к инструменту, которым, к слову, пользуется весьма умело. Имеет широкий ум, сообразительна, способна видеть окружающих людей насквозь. Сильна и могущественна, не ищет помощи у окружающих никогда.;8_8_8.jpg
;10;Цифра 9 – завершающая цифра цикла, символизирующая созидание. Перевернутая шестерка дарит свою любовь всему окружающему миру, а не отдельному человеку. Это символ  альтруизма, гуманности и всепоглощающей любви к человечеству. Полная противоположность эгоизма.  Девятка часто гениальна, но всегда благородна, созидательна  и аристократична. Сложно застать девятку врасплох.;9_9_9.jpg
;;Тема -  года по месяцам ;
